"","year_built","zone","total_value","tax_district","area","parcel_id","bldg_value","land_value","deed_date","prior","tax_year","land_use_code","lci"
"16131","1980.000000","PLI",0,"003",302282.830827,"00623703000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"16776","1983.000000","R4",0,"003",8049.881186,"00629401000",0,0,"1988-07-18T00:00:00","{ ""2009"": { ""zone"": ""R4"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R4"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R4"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"16943","1978.000000","PLI",0,"001",411323.80793,"00630166000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"17307","1958.000000","PLI",0,"003",78089.722559,"00631332000",0,0,"2001-06-29T00:00:00","{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"17437","1984.000000","R2M",377300,"003",28042.733638,"00632316000",214700,162600,"2013-07-16T00:00:00","{ ""2009"": { ""zone"": ""R2M"", ""total_value"": 377300, ""tax_district"": ""003"", ""bldg_value"": 214700, ""land_value"": 162600, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R2M"", ""total_value"": 377300, ""tax_district"": ""003"", ""bldg_value"": 214700, ""land_value"": 162600, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R2M"", ""total_value"": 377300, ""tax_district"": ""003"", ""bldg_value"": 214700, ""land_value"": 162600, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"17860","1990.000000","PLI",0,"003",650790.312946,"00636310000",0,0,"1993-06-01T00:00:00","{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"17864","1971.000000","PLI",0,"003",3032107.089726,"00637101000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"18377","1983.000000","R2A",0,"003",98353.02406,"00702101000",0,0,"2008-05-23T00:00:00","{ ""2009"": { ""zone"": ""R2A"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R2A"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R2A"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"19497","1980.000000","PLI",0,"003",371360.244627,"00710506000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"20650","1980.000000","PLI",0,"003",376049.775264,"00717125000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"21979","1991.000000","PLI",0,"003",597712.211118,"00726106000",0,0,"1990-10-19T00:00:00","{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"22243","2006.000000","ROSL",0,"001",64890.962261,"00801164000",0,0,"2002-04-22T00:00:00","{ ""2009"": { ""zone"": ""ROSL"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""ROSL"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""ROSL"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"22462","1980.000000","R2M",410400,"003",16313.547681,"00803254000",287900,122500,"2012-12-31T00:00:00","{ ""2009"": { ""zone"": ""R2M"", ""total_value"": 410400, ""tax_district"": ""003"", ""bldg_value"": 287900, ""land_value"": 122500, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R2M"", ""total_value"": 410400, ""tax_district"": ""003"", ""bldg_value"": 287900, ""land_value"": 122500, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R2M"", ""total_value"": 410400, ""tax_district"": ""003"", ""bldg_value"": 287900, ""land_value"": 122500, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"22940","1967.000000","B3",272500,"003",7568.864132,"00901512000",155500,117000,"2008-06-30T00:00:00","{ ""2009"": { ""zone"": ""B3"", ""total_value"": 272500, ""tax_district"": ""003"", ""bldg_value"": 155500, ""land_value"": 117000, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""B3"", ""total_value"": 272500, ""tax_district"": ""003"", ""bldg_value"": 155500, ""land_value"": 117000, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""B3"", ""total_value"": 272500, ""tax_district"": ""003"", ""bldg_value"": 155500, ""land_value"": 117000, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"23017","1949.000000","PLI",0,"003",369463.968133,"00902401000",0,0,"1988-08-23T00:00:00","{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"23707","1985.000000","B3",0,"003",216505.828478,"00912232000",0,0,"2002-12-30T00:00:00","{ ""2009"": { ""zone"": ""B3"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""B3"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""B3"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"24089","1972.000000","B1A",0,"003",35413.289509,"00917214000",0,0,"2007-12-14T00:00:00","{ ""2009"": { ""zone"": ""B1A"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""RELIGIOUS"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""B1A"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""RELIGIOUS"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""B1A"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""RELIGIOUS"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"24644","1971.000000","I1",0,"003",40857.687943,"00923275000",0,0,"2004-11-15T00:00:00","{ ""2009"": { ""zone"": ""I1"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""I1"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""I1"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"25276","1984.000000","R3",0,"003",95104.490533,"00929122000",0,0,NA,"{ ""2009"": { ""zone"": ""R3"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R3"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R3"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"25298","2008.000000","R3",749200,"003",24934.163013,"00929223000",571900,177300,"2003-03-28T00:00:00","{ ""2009"": { ""zone"": ""R3"", ""total_value"": 749200, ""tax_district"": ""003"", ""bldg_value"": 571900, ""land_value"": 177300, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R3"", ""total_value"": 749200, ""tax_district"": ""003"", ""bldg_value"": 571900, ""land_value"": 177300, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R3"", ""total_value"": 749200, ""tax_district"": ""003"", ""bldg_value"": 571900, ""land_value"": 177300, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"25299","1978.000000","I1",828632,"003",39151.736206,"00929224000",388400,448000,"2002-01-04T00:00:00","{ ""2009"": { ""zone"": ""I1"", ""total_value"": 828632, ""tax_district"": ""003"", ""bldg_value"": 388400, ""land_value"": 448000, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""I1"", ""total_value"": 828632, ""tax_district"": ""003"", ""bldg_value"": 388400, ""land_value"": 448000, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""I1"", ""total_value"": 828632, ""tax_district"": ""003"", ""bldg_value"": 388400, ""land_value"": 448000, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"25364","2000.000000","I1",0,"003",290010.668517,"00930121000",0,0,"2000-01-28T00:00:00","{ ""2009"": { ""zone"": ""I1"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""I1"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""I1"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"25661","1966.000000","PLI",0,"003",312079.750571,"01002533000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"25972","1956.000000","PLI",0,"003",376257.115836,"01004226000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"28012","1953.000000","PLI",0,"003",355062.4595,"01012326000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"28426","1980.000000","PLI",0,"003",657086.044382,"01014382000",0,0,"1995-03-06T00:00:00","{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"29244","1982.000000","R2M",222100,"003",8584.759633,"01020819000",138700,83400,"1995-02-22T00:00:00","{ ""2009"": { ""zone"": ""R2M"", ""total_value"": 222100, ""tax_district"": ""003"", ""bldg_value"": 138700, ""land_value"": 83400, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R2M"", ""total_value"": 222100, ""tax_district"": ""003"", ""bldg_value"": 138700, ""land_value"": 83400, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R2M"", ""total_value"": 222100, ""tax_district"": ""003"", ""bldg_value"": 138700, ""land_value"": 83400, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"29572","1960.000000","PLI",0,"003",359928.918943,"01022401000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"30669","1972.000000","PLI",0,"003",310539.559225,"01051110000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"30672","2003.000000","R4SL",0,"003",102335.652852,"01051120000",0,0,NA,"{ ""2009"": { ""zone"": ""R4SL"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R4SL"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R4SL"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"31073","1980.000000","PLI",0,"003",1658731.733366,"01106103000",0,0,"1995-11-06T00:00:00","{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"31581","1980.000000","PLI",0,"003",400604.659704,"01109315000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"34174","1968.000000","B3",609300,"003",21968.387864,"01205246000",355600,253700,"2013-02-13T00:00:00","{ ""2009"": { ""zone"": ""B3"", ""total_value"": 609300, ""tax_district"": ""003"", ""bldg_value"": 355600, ""land_value"": 253700, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""B3"", ""total_value"": 609300, ""tax_district"": ""003"", ""bldg_value"": 355600, ""land_value"": 253700, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""B3"", ""total_value"": 609300, ""tax_district"": ""003"", ""bldg_value"": 355600, ""land_value"": 253700, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"34972","1970.000000","PLI",0,"003",382308.347683,"01213255000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"35088","1972.000000","R3",420800,"003",10552.569403,"01214154000",252800,168000,NA,"{ ""2009"": { ""zone"": ""R3"", ""total_value"": 420800, ""tax_district"": ""003"", ""bldg_value"": 252800, ""land_value"": 168000, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R3"", ""total_value"": 420800, ""tax_district"": ""003"", ""bldg_value"": 252800, ""land_value"": 168000, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R3"", ""total_value"": 420800, ""tax_district"": ""003"", ""bldg_value"": 252800, ""land_value"": 168000, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"35360","1969.000000","R2M",858300,"003",36611.453589,"01215328000",685000,173300,"2008-07-18T00:00:00","{ ""2009"": { ""zone"": ""R2M"", ""total_value"": 858300, ""tax_district"": ""003"", ""bldg_value"": 685000, ""land_value"": 173300, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R2M"", ""total_value"": 858300, ""tax_district"": ""003"", ""bldg_value"": 685000, ""land_value"": 173300, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R2M"", ""total_value"": 858300, ""tax_district"": ""003"", ""bldg_value"": 685000, ""land_value"": 173300, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"35824","1970.000000","PLI",0,"003",333480.296515,"01217435000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"37885","2004.000000","PLI",0,"003",2656974.722808,"01228421000",0,0,"1973-06-26T00:00:00","{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
